"","age_group","lower.Q1","mean","upper.Q3","gender"
"1","15-24",0,0.00190807500620099,0.0025991256504568,"men"
"2","25-29",0,0.00421303330278145,0.00492698460389114,"men"
"3","30-34",0,0.0051004348190823,0.00636371218102304,"men"
"4","35-39",0,0.00486072416705454,0.00902039992744647,"men"
"5","40-44",0,0.00250478318537942,0.00308107413732512,"men"
"6","45-49",0,0.00103102626786544,0.00262323435762008,"men"
"7","15-24",0.00242241604610978,0.00596101087021954,0.00864418689548099,"women"
"8","25-29",0,0.00122755851895765,0,"women"
"9","30-34",0,0.000437105750628037,0,"women"
"10","35-39",0,0.000255073690869636,0,"women"
"11","40-44",0,0.000105961901076448,0,"women"
"12","45-49",0,7.38727800876086e-05,0,"women"
