"","age_group","lower.Q1","median","upper.Q3","gender"
"1","15-24",0.00512820512820513,0.0108734383695607,0.0153452685421995,"men"
"2","25-29",0.0268199233716475,0.0392714043343096,0.0513833992094862,"men"
"3","30-34",0.0486486486486487,0.0684665678384975,0.0878048780487805,"men"
"4","35-39",0.0731707317073171,0.095298178509758,0.11864406779661,"men"
"5","40-44",0.0936454849498328,0.109700605147313,0.129746835443038,"men"
"6","45-49",0.0855263157894737,0.100519706819318,0.120481927710843,"men"
"7","15-24",0.048951048951049,0.0622280289326353,0.0783289817232376,"women"
"8","25-29",0.104602510460251,0.123146201630638,0.147540983606557,"women"
"9","30-34",0.117647058823529,0.138672744228326,0.163636363636364,"women"
"10","35-39",0.0927835051546392,0.119649584582777,0.148760330578512,"women"
"11","40-44",0.0547445255474453,0.0728109053232586,0.0914826498422713,"women"
"12","45-49",0.0426829268292683,0.0570016652259184,0.0711610486891386,"women"
