"","MRE_1_1","MRE_1_2","MRE_2_1","MRE_2_2","MRE_3_1","MRE_3_2","Age_group","Year","Gender"
"1",1.05475,0.88048,1.34137,1.0745,1.06295,0.93416,"15-24","2013","men"
"2",0.87811,0.76712,0.95202,0.88461,0.89938,0.78916,"25-29","2013","men"
"3",0.91606,0.8875,0.96849,0.91955,0.96005,0.88494,"30-34","2013","men"
"4",0.78408,0.66974,0.7441,0.67547,0.75629,0.67397,"35-39","2013","men"
"5",0.89173,0.78456,0.79473,0.73747,0.91572,0.74142,"40-44","2013","men"
"6",1.23131,1.04045,1.13016,0.99237,1.22711,1.00805,"45-49","2013","men"
"7",1.02293,0.89883,1.26296,1.0851,1.08533,0.97876,"15-24","2014","men"
"8",0.96249,0.88694,1.10231,1.02698,0.98951,0.90741,"25-29","2014","men"
"9",0.86408,0.87018,0.90373,0.89681,0.92165,0.84121,"30-34","2014","men"
"10",0.97827,0.87733,0.93042,0.88425,0.99837,0.8737,"35-39","2014","men"
"11",1.06991,0.91003,0.92059,0.91656,0.97718,0.88609,"40-44","2014","men"
"12",1.45055,1.29848,1.27103,1.16657,1.4448,1.15002,"45-49","2014","men"
"13",1.15855,0.89525,1.33417,1.25347,1.27041,1.03238,"15-24","2015","men"
"14",1.00525,0.93552,1.09395,1.16055,1.12176,0.9917,"25-29","2015","men"
"15",0.92342,0.89038,0.91207,0.96075,0.94996,0.93358,"30-34","2015","men"
"16",1.07437,0.93358,0.95423,0.90022,0.90746,0.87915,"35-39","2015","men"
"17",1.07316,0.88081,0.96276,0.80236,1.00017,0.85782,"40-44","2015","men"
"18",1.75576,1.50713,1.53888,1.44127,1.55175,1.37258,"45-49","2015","men"
"19",1.13425,0.98986,1.33453,1.22738,1.25674,1.0544,"15-24","2016","men"
"20",1.02155,0.96523,1.23536,1.05684,1.05984,0.96505,"25-29","2016","men"
"21",0.91918,0.94391,0.97993,1.03122,0.97103,0.97724,"30-34","2016","men"
"22",1.18662,1.2673,1.25378,1.12695,1.16183,1.20835,"35-39","2016","men"
"23",1.03665,0.96006,0.96548,0.83396,0.90925,0.92091,"40-44","2016","men"
"24",1.47005,1.41002,1.40545,1.29973,1.38828,1.31173,"45-49","2016","men"
"25",1.35979,1.1209,1.35127,1.29633,1.39386,1.21792,"15-24","2017","men"
"26",0.95806,1.01259,1.08813,1.01433,0.99,0.97441,"25-29","2017","men"
"27",1.00497,0.97803,1.08916,1.01595,1.02405,1.00899,"30-34","2017","men"
"28",1.34227,1.46893,1.3267,1.30232,1.35038,1.37524,"35-39","2017","men"
"29",1.13972,1.07222,1.20909,0.99736,1.05262,1.03022,"40-44","2017","men"
"30",1.58792,1.51293,1.74517,1.38875,1.47887,1.41031,"45-49","2017","men"
"31",0.53162,0.47872,0.52974,0.49637,0.49674,0.46769,"15-24","2013","women"
"32",1.1711,1.10191,1.02598,1.08174,1.06856,1.07796,"25-29","2013","women"
"33",1.4554,1.59738,1.48093,1.4674,1.57672,1.38211,"30-34","2013","women"
"34",1.27389,1.56912,1.43407,1.45138,1.4723,1.39072,"35-39","2013","women"
"35",1.5237,1.77582,1.58568,1.65677,1.69882,1.47681,"40-44","2013","women"
"36",1.41214,1.95796,1.45311,1.63971,1.51047,1.46651,"45-49","2013","women"
"37",0.54265,0.50475,0.58463,0.5347,0.54235,0.48523,"15-24","2014","women"
"38",1.35538,1.30714,1.25242,1.19749,1.26711,1.21816,"25-29","2014","women"
"39",1.58765,1.74194,1.51293,1.54455,1.59564,1.3997,"30-34","2014","women"
"40",1.2958,1.44317,1.48171,1.56704,1.47045,1.27727,"35-39","2014","women"
"41",1.47626,1.65227,1.57011,1.61447,1.45799,1.44798,"40-44","2014","women"
"42",1.51765,1.7599,1.51771,1.5789,1.49514,1.36147,"45-49","2014","women"
"43",0.57955,0.52997,0.60027,0.57768,0.58239,0.53849,"15-24","2015","women"
"44",1.51821,1.57128,1.53055,1.49222,1.59013,1.42023,"25-29","2015","women"
"45",1.46685,1.64833,1.52767,1.55935,1.57546,1.48934,"30-34","2015","women"
"46",1.87122,1.85779,1.71533,1.56098,1.75373,1.34148,"35-39","2015","women"
"47",1.52558,1.72044,1.53849,1.80755,1.46566,1.42572,"40-44","2015","women"
"48",1.72515,1.60911,1.48315,1.52458,1.62834,1.40109,"45-49","2015","women"
"49",0.58743,0.60129,0.61815,0.62563,0.59805,0.60696,"15-24","2016","women"
"50",1.46132,1.5059,1.41493,1.4317,1.48655,1.40186,"25-29","2016","women"
"51",1.52139,1.58994,1.67728,1.57346,1.53513,1.44627,"30-34","2016","women"
"52",1.67303,1.88848,1.78009,1.90138,1.91832,1.4736,"35-39","2016","women"
"53",1.40186,1.73526,1.42221,1.50055,1.78263,1.34671,"40-44","2016","women"
"54",1.52093,2.17204,2.05912,1.89981,1.45132,1.52321,"45-49","2016","women"
"55",0.70051,0.6883,0.79729,0.74652,0.75446,0.71317,"15-24","2017","women"
"56",1.58232,1.67152,1.58225,1.48288,1.50227,1.45087,"25-29","2017","women"
"57",1.87383,2.07842,1.77046,1.9108,1.87073,1.54384,"30-34","2017","women"
"58",1.73521,1.61932,1.6716,2.07031,1.49161,1.6285,"35-39","2017","women"
"59",1.94166,2.25749,1.89354,1.8269,1.85843,1.5933,"40-44","2017","women"
"60",1.26963,1.61916,1.24791,2.0685,1.32776,1.45465,"45-49","2017","women"
