"","MRE_1_1","MRE_1_2","MRE_2_1","MRE_2_2","MRE_3_1","MRE_3_2","Age_group","Year","Gender"
"1",0.53162,0.47872,0.52974,0.49637,0.49674,0.46769,"15-24","2013","women"
"2",1.1711,1.10191,1.02598,1.08174,1.06856,1.07796,"25-29","2013","women"
"3",1.4554,1.59738,1.48093,1.4674,1.57672,1.38211,"30-34","2013","women"
"4",1.27389,1.56912,1.43407,1.45138,1.4723,1.39072,"35-39","2013","women"
"5",1.5237,1.77582,1.58568,1.65677,1.69882,1.47681,"40-44","2013","women"
"6",1.41214,1.95796,1.45311,1.63971,1.51047,1.46651,"45-49","2013","women"
"7",0.54265,0.50475,0.58463,0.5347,0.54235,0.48523,"15-24","2014","women"
"8",1.35538,1.30714,1.25242,1.19749,1.26711,1.21816,"25-29","2014","women"
"9",1.58765,1.74194,1.51293,1.54455,1.59564,1.3997,"30-34","2014","women"
"10",1.2958,1.44317,1.48171,1.56704,1.47045,1.27727,"35-39","2014","women"
"11",1.47626,1.65227,1.57011,1.61447,1.45799,1.44798,"40-44","2014","women"
"12",1.51765,1.7599,1.51771,1.5789,1.49514,1.36147,"45-49","2014","women"
"13",0.57955,0.52997,0.60027,0.57768,0.58239,0.53849,"15-24","2015","women"
"14",1.51821,1.57128,1.53055,1.49222,1.59013,1.42023,"25-29","2015","women"
"15",1.46685,1.64833,1.52767,1.55935,1.57546,1.48934,"30-34","2015","women"
"16",1.87122,1.85779,1.71533,1.56098,1.75373,1.34148,"35-39","2015","women"
"17",1.52558,1.72044,1.53849,1.80755,1.46566,1.42572,"40-44","2015","women"
"18",1.72515,1.60911,1.48315,1.52458,1.62834,1.40109,"45-49","2015","women"
"19",0.58743,0.60129,0.61815,0.62563,0.59805,0.60696,"15-24","2016","women"
"20",1.46132,1.5059,1.41493,1.4317,1.48655,1.40186,"25-29","2016","women"
"21",1.52139,1.58994,1.67728,1.57346,1.53513,1.44627,"30-34","2016","women"
"22",1.67303,1.88848,1.78009,1.90138,1.91832,1.4736,"35-39","2016","women"
"23",1.40186,1.73526,1.42221,1.50055,1.78263,1.34671,"40-44","2016","women"
"24",1.52093,2.17204,2.05912,1.89981,1.45132,1.52321,"45-49","2016","women"
"25",0.70051,0.6883,0.79729,0.74652,0.75446,0.71317,"15-24","2017","women"
"26",1.58232,1.67152,1.58225,1.48288,1.50227,1.45087,"25-29","2017","women"
"27",1.87383,2.07842,1.77046,1.9108,1.87073,1.54384,"30-34","2017","women"
"28",1.73521,1.61932,1.6716,2.07031,1.49161,1.6285,"35-39","2017","women"
"29",1.94166,2.25749,1.89354,1.8269,1.85843,1.5933,"40-44","2017","women"
"30",1.26963,1.61916,1.24791,2.0685,1.32776,1.45465,"45-49","2017","women"
