"","MRE_1_1","MRE_1_2","MRE_2_1","MRE_2_2","MRE_3_1","MRE_3_2","Age_group","Year","Gender"
"1",1.05475,0.88048,1.34137,1.0745,1.06295,0.93416,"15-24","2013","men"
"2",0.87811,0.76712,0.95202,0.88461,0.89938,0.78916,"25-29","2013","men"
"3",0.91606,0.8875,0.96849,0.91955,0.96005,0.88494,"30-34","2013","men"
"4",0.78408,0.66974,0.7441,0.67547,0.75629,0.67397,"35-39","2013","men"
"5",0.89173,0.78456,0.79473,0.73747,0.91572,0.74142,"40-44","2013","men"
"6",1.23131,1.04045,1.13016,0.99237,1.22711,1.00805,"45-49","2013","men"
"7",1.02293,0.89883,1.26296,1.0851,1.08533,0.97876,"15-24","2014","men"
"8",0.96249,0.88694,1.10231,1.02698,0.98951,0.90741,"25-29","2014","men"
"9",0.86408,0.87018,0.90373,0.89681,0.92165,0.84121,"30-34","2014","men"
"10",0.97827,0.87733,0.93042,0.88425,0.99837,0.8737,"35-39","2014","men"
"11",1.06991,0.91003,0.92059,0.91656,0.97718,0.88609,"40-44","2014","men"
"12",1.45055,1.29848,1.27103,1.16657,1.4448,1.15002,"45-49","2014","men"
"13",1.15855,0.89525,1.33417,1.25347,1.27041,1.03238,"15-24","2015","men"
"14",1.00525,0.93552,1.09395,1.16055,1.12176,0.9917,"25-29","2015","men"
"15",0.92342,0.89038,0.91207,0.96075,0.94996,0.93358,"30-34","2015","men"
"16",1.07437,0.93358,0.95423,0.90022,0.90746,0.87915,"35-39","2015","men"
"17",1.07316,0.88081,0.96276,0.80236,1.00017,0.85782,"40-44","2015","men"
"18",1.75576,1.50713,1.53888,1.44127,1.55175,1.37258,"45-49","2015","men"
"19",1.13425,0.98986,1.33453,1.22738,1.25674,1.0544,"15-24","2016","men"
"20",1.02155,0.96523,1.23536,1.05684,1.05984,0.96505,"25-29","2016","men"
"21",0.91918,0.94391,0.97993,1.03122,0.97103,0.97724,"30-34","2016","men"
"22",1.18662,1.2673,1.25378,1.12695,1.16183,1.20835,"35-39","2016","men"
"23",1.03665,0.96006,0.96548,0.83396,0.90925,0.92091,"40-44","2016","men"
"24",1.47005,1.41002,1.40545,1.29973,1.38828,1.31173,"45-49","2016","men"
"25",1.35979,1.1209,1.35127,1.29633,1.39386,1.21792,"15-24","2017","men"
"26",0.95806,1.01259,1.08813,1.01433,0.99,0.97441,"25-29","2017","men"
"27",1.00497,0.97803,1.08916,1.01595,1.02405,1.00899,"30-34","2017","men"
"28",1.34227,1.46893,1.3267,1.30232,1.35038,1.37524,"35-39","2017","men"
"29",1.13972,1.07222,1.20909,0.99736,1.05262,1.03022,"40-44","2017","men"
"30",1.58792,1.51293,1.74517,1.38875,1.47887,1.41031,"45-49","2017","men"
