"","Parameter","Value"
"1","mean_nodeHeights",14.26082
"2","median_nodeHeights",15.38992
"3","sd_nodeHeights",5.96359
"4","colless",0.08942
"5","sackin",0.13846
"6","min_BL",0.00105
"7","1Q_BL",0.69956
"8","median_BL",2.33402
"9","mean_BL",3.87808
"10","3Q_BL",5.50728
"11","max_BL",20.1533
"12","mean.tipsDepths",13.55503
"13","median.tipsDepths",13.26482
"14","sd.tipsDepths",5.26124
"15","mean.nodesDepths",11.62515
"16","median.nodesDepths",11.34367
"17","sd.nodesDepths",5.38234
"18","maxHeight",0.13391
