"","X","age_group","lower.Q1","Incidence","upper.Q3","Gender","Year","Calibration"
"1",1,"15-24",0.0020264481767549,0.00384570975007245,0.00603359971740272,"men","2013","HIV_Epi_Behavior"
"2",2,"25-29",0,0.00730256166126314,0.0104404445119672,"men","2013","HIV_Epi_Behavior"
"3",3,"30-34",0,0.0103375318294199,0.0157128444389001,"men","2013","HIV_Epi_Behavior"
"4",4,"35-39",0.00367585154574929,0.00951687807058017,0.0133094395043757,"men","2013","HIV_Epi_Behavior"
"5",5,"40-44",0.00273613942580688,0.00559833934170733,0.00842810788102181,"men","2013","HIV_Epi_Behavior"
"6",6,"45-49",0,0.00238304132272222,0.00303325371739514,"men","2013","HIV_Epi_Behavior"
"7",7,"15-24",0.00919331977800891,0.0138043003913912,0.017523780417024,"women","2013","HIV_Epi_Behavior"
"8",8,"25-29",0,0.00293435504741732,0.00573878504797055,"women","2013","HIV_Epi_Behavior"
"9",9,"30-34",0,0.00146798010042635,0,"women","2013","HIV_Epi_Behavior"
"10",10,"35-39",0,0.000587587391719717,0,"women","2013","HIV_Epi_Behavior"
"11",11,"40-44",0,0.000485529941993882,0,"women","2013","HIV_Epi_Behavior"
"12",12,"45-49",0,0.000307314350378025,0,"women","2013","HIV_Epi_Behavior"
"13",1,"15-24",0,0.00357415135775338,0.00491237499240749,"men","2014","HIV_Epi_Behavior"
"14",2,"25-29",0,0.00720314291576994,0.0100216641904514,"men","2014","HIV_Epi_Behavior"
"15",3,"30-34",0,0.00946647354456163,0.01371531600789,"men","2014","HIV_Epi_Behavior"
"16",4,"35-39",0.00411480804837033,0.00798967434746302,0.0123881564761133,"men","2014","HIV_Epi_Behavior"
"17",5,"40-44",0.00269585179137842,0.00494902097208432,0.0068973162385392,"men","2014","HIV_Epi_Behavior"
"18",6,"45-49",0,0.0020303170072999,0.00298659091367264,"men","2014","HIV_Epi_Behavior"
"19",7,"15-24",0.00739964527777788,0.0120250499479647,0.0155986653752558,"women","2014","HIV_Epi_Behavior"
"20",8,"25-29",0,0.00259271677775671,0.00535653636721765,"women","2014","HIV_Epi_Behavior"
"21",9,"30-34",0,0.00120335634326842,0,"women","2014","HIV_Epi_Behavior"
"22",10,"35-39",0,0.00036220327122553,0,"women","2014","HIV_Epi_Behavior"
"23",11,"40-44",0,0.000298302192004699,0,"women","2014","HIV_Epi_Behavior"
"24",12,"45-49",0,0.000209104617304089,0,"women","2014","HIV_Epi_Behavior"
"25",1,"15-24",0,0.00300673176418566,0.00469952473547374,"men","2015","HIV_Epi_Behavior"
"26",2,"25-29",0,0.00622009051494179,0.00947537320736706,"men","2015","HIV_Epi_Behavior"
"27",3,"30-34",0,0.00899605355884389,0.0129270672242748,"men","2015","HIV_Epi_Behavior"
"28",4,"35-39",0,0.00736344229293427,0.0112145615193254,"men","2015","HIV_Epi_Behavior"
"29",5,"40-44",0,0.0042191552808461,0.0059356582189281,"men","2015","HIV_Epi_Behavior"
"30",6,"45-49",0,0.00174752673674457,0.00292787396197364,"men","2015","HIV_Epi_Behavior"
"31",7,"15-24",0.00685834596461793,0.0106318607938427,0.0140113444339788,"women","2015","HIV_Epi_Behavior"
"32",8,"25-29",0,0.00201342275880755,0.0048006068988859,"women","2015","HIV_Epi_Behavior"
"33",9,"30-34",0,0.000719935659271795,0,"women","2015","HIV_Epi_Behavior"
"34",10,"35-39",0,0.00032267942727008,0,"women","2015","HIV_Epi_Behavior"
"35",11,"40-44",0,0.000204095089737821,0,"women","2015","HIV_Epi_Behavior"
"36",12,"45-49",0,0.000107817633754318,0,"women","2015","HIV_Epi_Behavior"
"37",1,"15-24",0,0.00306232475150733,0.00480406054172515,"men","2016","HIV_Epi_Behavior"
"38",2,"25-29",0,0.00614704372520896,0.009320863551472,"men","2016","HIV_Epi_Behavior"
"39",3,"30-34",0,0.00845756993620169,0.012003326937732,"men","2016","HIV_Epi_Behavior"
"40",4,"35-39",0,0.0074416511007145,0.0136414333692042,"men","2016","HIV_Epi_Behavior"
"41",5,"40-44",0,0.00419680933482508,0.00594935852235465,"men","2016","HIV_Epi_Behavior"
"42",6,"45-49",0,0.00167382905715891,0.0028997467095116,"men","2016","HIV_Epi_Behavior"
"43",7,"15-24",0.00522387132051082,0.00979422481337664,0.013369454935991,"women","2016","HIV_Epi_Behavior"
"44",8,"25-29",0,0.00175490730411934,0,"women","2016","HIV_Epi_Behavior"
"45",9,"30-34",0,0.000602003212592021,0,"women","2016","HIV_Epi_Behavior"
"46",10,"35-39",0,0.000359761912733034,0,"women","2016","HIV_Epi_Behavior"
"47",11,"40-44",0,0.000156561365814231,0,"women","2016","HIV_Epi_Behavior"
"48",12,"45-49",0,0.000127855949445246,0,"women","2016","HIV_Epi_Behavior"
"49",1,"15-24",0,0.00252505347036105,0.00426521392347047,"men","2017","HIV_Epi_Behavior"
