"","X","age_group","lower.Q1","Incidence","upper.Q3","Gender","Year","Calibration"
"1",1,"15-24",0,0.00420487614235245,0.00644198175108966,"men","2013","HIV_Epi_Behavior"
"2",2,"25-29",0,0.00780863109199096,0.0121337392833013,"men","2013","HIV_Epi_Behavior"
"3",3,"30-34",0,0.00968265360923408,0.0157274947356363,"men","2013","HIV_Epi_Behavior"
"4",4,"35-39",0.00358099985572525,0.009700565145024,0.0132408496739845,"men","2013","HIV_Epi_Behavior"
"5",5,"40-44",0.00239429990211213,0.00562222133501974,0.00805332445679136,"men","2013","HIV_Epi_Behavior"
"6",6,"45-49",0,0.00268210725567289,0.00321063187221899,"men","2013","HIV_Epi_Behavior"
"7",7,"15-24",0.00848292535225796,0.0139674456510628,0.0185984312798133,"women","2013","HIV_Epi_Behavior"
"8",8,"25-29",0,0.00315456209542399,0.00538717178293829,"women","2013","HIV_Epi_Behavior"
"9",9,"30-34",0,0.0011815528818005,0,"women","2013","HIV_Epi_Behavior"
"10",10,"35-39",0,0.000318331624036767,0,"women","2013","HIV_Epi_Behavior"
"11",11,"40-44",0,0.000351379215998574,0,"women","2013","HIV_Epi_Behavior"
"12",12,"45-49",0,0.000135772777703049,0,"women","2013","HIV_Epi_Behavior"
"13",1,"15-24",0,0.00373044770039431,0.00570226607631448,"men","2014","HIV_Epi_Behavior"
"14",2,"25-29",0,0.00716097485151536,0.0107773376698851,"men","2014","HIV_Epi_Behavior"
"15",3,"30-34",0,0.00975159641286126,0.0139112053340103,"men","2014","HIV_Epi_Behavior"
"16",4,"35-39",0.00390158645199926,0.00818629610460587,0.0124168710179189,"men","2014","HIV_Epi_Behavior"
"17",5,"40-44",0.00241288043253621,0.00535437180265197,0.00776478753991099,"men","2014","HIV_Epi_Behavior"
"18",6,"45-49",0,0.00230603718628043,0.00320210648441841,"men","2014","HIV_Epi_Behavior"
"19",7,"15-24",0.00699439845003765,0.0119140691852708,0.0158027172502957,"women","2014","HIV_Epi_Behavior"
"20",8,"25-29",0,0.00261333519970531,0.00492826231858606,"women","2014","HIV_Epi_Behavior"
"21",9,"30-34",0,0.000961977206993104,0,"women","2014","HIV_Epi_Behavior"
"22",10,"35-39",0,0.000267459875001016,0,"women","2014","HIV_Epi_Behavior"
"23",11,"40-44",0,0.000227110352381926,0,"women","2014","HIV_Epi_Behavior"
"24",12,"45-49",0,0.000146796165728013,0,"women","2014","HIV_Epi_Behavior"
"25",1,"15-24",0,0.00348177148383192,0.005498966920696,"men","2015","HIV_Epi_Behavior"
"26",2,"25-29",0,0.00583477732362563,0.00930690153570832,"men","2015","HIV_Epi_Behavior"
"27",3,"30-34",0,0.00811516545504778,0.0132590582861927,"men","2015","HIV_Epi_Behavior"
"28",4,"35-39",0,0.0078070021543657,0.0116027229444699,"men","2015","HIV_Epi_Behavior"
"29",5,"40-44",0,0.00463060954015244,0.00671625267733552,"men","2015","HIV_Epi_Behavior"
"30",6,"45-49",0,0.00201618415881858,0.00294530890741656,"men","2015","HIV_Epi_Behavior"
"31",7,"15-24",0.00566362595313413,0.0103518478893392,0.0142838506184956,"women","2015","HIV_Epi_Behavior"
"32",8,"25-29",0,0.0018910221289919,0.00363830778951566,"women","2015","HIV_Epi_Behavior"
"33",9,"30-34",0,0.000538114734883666,0,"women","2015","HIV_Epi_Behavior"
"34",10,"35-39",0,0.000326779606948503,0,"women","2015","HIV_Epi_Behavior"
"35",11,"40-44",0,0.000153519502767979,0,"women","2015","HIV_Epi_Behavior"
"36",12,"45-49",0,0.000128389963465908,0,"women","2015","HIV_Epi_Behavior"
"37",1,"15-24",0,0.00300703737990528,0.00448444302253781,"men","2016","HIV_Epi_Behavior"
"38",2,"25-29",0,0.00573136174540911,0.0086352698186053,"men","2016","HIV_Epi_Behavior"
"39",3,"30-34",0,0.00705670149487125,0.0111925661651406,"men","2016","HIV_Epi_Behavior"
"40",4,"35-39",0,0.00675554783722258,0.00949931227732589,"men","2016","HIV_Epi_Behavior"
"41",5,"40-44",0,0.00426721341416662,0.00606457639942703,"men","2016","HIV_Epi_Behavior"
"42",6,"45-49",0,0.00169368085779752,0.00291050805041424,"men","2016","HIV_Epi_Behavior"
"43",7,"15-24",0.00513059317670527,0.00930033397198809,0.0130179175549622,"women","2016","HIV_Epi_Behavior"
"44",8,"25-29",0,0.00170830144662384,0,"women","2016","HIV_Epi_Behavior"
"45",9,"30-34",0,0.000576785311571558,0,"women","2016","HIV_Epi_Behavior"
"46",10,"35-39",0,0.000275451657044965,0,"women","2016","HIV_Epi_Behavior"
"47",11,"40-44",0,8.78835851630544e-05,0,"women","2016","HIV_Epi_Behavior"
"48",12,"45-49",0,5.74668863624251e-05,0,"women","2016","HIV_Epi_Behavior"
"49",1,"15-24",0,0.00288777885153214,0.00438886143615154,"men","2017","HIV_Epi_Behavior"
"50",2,"25-29",0,0.00443463572199439,0.00738436693021827,"men","2017","HIV_Epi_Behavior"
"51",3,"30-34",0,0.00567846879656267,0.00889752409853952,"men","2017","HIV_Epi_Behavior"
"52",4,"35-39",0,0.00578129413124728,0.00997795064440248,"men","2017","HIV_Epi_Behavior"
"53",5,"40-44",0,0.0034328160905455,0.00585002676433981,"men","2017","HIV_Epi_Behavior"
"54",6,"45-49",0,0.00126725811986864,0.00279949025951218,"men","2017","HIV_Epi_Behavior"
"55",7,"15-24",0.00300867661104739,0.00706252775643381,0.0102789644953868,"women","2017","HIV_Epi_Behavior"
"56",8,"25-29",0,0.00128476967740981,0,"women","2017","HIV_Epi_Behavior"
"57",9,"30-34",0,0.000446825520639843,0,"women","2017","HIV_Epi_Behavior"
"58",10,"35-39",0,0.000203878654318058,0,"women","2017","HIV_Epi_Behavior"
"59",11,"40-44",0,0.000104275052794713,0,"women","2017","HIV_Epi_Behavior"
"60",12,"45-49",0,2.15425321869737e-05,0,"women","2017","HIV_Epi_Behavior"
"61",1,"15-24",0.00179626332735783,0.00535845831825944,0.00805210663899822,"men","2013","PhyloTree"
"62",2,"25-29",0,0.00871364727332901,0.0129351867567901,"men","2013","PhyloTree"
"63",3,"30-34",0,0.0105984326162255,0.0160149668271696,"men","2013","PhyloTree"
"64",4,"35-39",0.00340032702028056,0.00892426433388892,0.0125401297611402,"men","2013","PhyloTree"
"65",5,"40-44",0,0.00498538079034204,0.00767806682257782,"men","2013","PhyloTree"
"66",6,"45-49",0,0.00215375917756357,0.00303910210069456,"men","2013","PhyloTree"
"67",7,"15-24",0.00899750110901135,0.0143642703934823,0.0184766159857348,"women","2013","PhyloTree"
"68",8,"25-29",0,0.00268431806311304,0.00529370672292576,"women","2013","PhyloTree"
"69",9,"30-34",0,0.00129547321917093,0,"women","2013","PhyloTree"
"70",10,"35-39",0,0.000454445579660698,0,"women","2013","PhyloTree"
"71",11,"40-44",0,0.000398956707794659,0,"women","2013","PhyloTree"
"72",12,"45-49",0,0.000154084979849667,0,"women","2013","PhyloTree"
"73",1,"15-24",0,0.00454844071333002,0.00684032121959277,"men","2014","PhyloTree"
"74",2,"25-29",0,0.00825480083401768,0.0120598740535795,"men","2014","PhyloTree"
"75",3,"30-34",0,0.009713517540584,0.0147246417948986,"men","2014","PhyloTree"
"76",4,"35-39",0,0.00769155446213194,0.0113733789487407,"men","2014","PhyloTree"
"77",5,"40-44",0,0.00441563594702658,0.00646040841188046,"men","2014","PhyloTree"
"78",6,"45-49",0,0.00176015589242607,0.00297962623223236,"men","2014","PhyloTree"
"79",7,"15-24",0.0066955536394827,0.0123274861543063,0.0165890055996099,"women","2014","PhyloTree"
"80",8,"25-29",0,0.00244577142014288,0.00455555076930234,"women","2014","PhyloTree"
"81",9,"30-34",0,0.00085607831758956,0,"women","2014","PhyloTree"
"82",10,"35-39",0,0.000382968031393722,0,"women","2014","PhyloTree"
"83",11,"40-44",0,0.00024825579092655,0,"women","2014","PhyloTree"
"84",12,"45-49",0,0.000146159300426047,0,"women","2014","PhyloTree"
"85",1,"15-24",0,0.00415102735329123,0.00644325005238883,"men","2015","PhyloTree"
"86",2,"25-29",0,0.00687161407609611,0.00999677385719826,"men","2015","PhyloTree"
"87",3,"30-34",0,0.00853110141002834,0.012685311535982,"men","2015","PhyloTree"
"88",4,"35-39",0,0.00704188769856829,0.0115284721314721,"men","2015","PhyloTree"
"89",5,"40-44",0,0.00405931345766326,0.00601798179320405,"men","2015","PhyloTree"
"90",6,"45-49",0,0.00164455379691552,0.00290502213022441,"men","2015","PhyloTree"
"91",7,"15-24",0.00607216970731044,0.0110523154221386,0.0149587138072605,"women","2015","PhyloTree"
"92",8,"25-29",0,0.00211111538773415,0.00435951324600944,"women","2015","PhyloTree"
